,0,1,2,3
539,chd2,hmga1,1.0,1.0
540,chd2,hmga2,1.0,1.0
541,irf3,nrf1,1.0,1.0
542,chd2,irf1,1.0,1.0
543,sall4,smarcc1,1.0,1.0
544,sall4,tead1,1.0,1.0
545,irf3,sp2,1.0,1.0
546,sall4,tgif1,1.0,1.0
547,sall4,thap11,1.0,1.0
548,chd2,max,1.0,1.0
549,sall4,yy1,1.0,1.0
550,chd2,mga,1.0,1.0
551,sall4,zbtb7a,1.0,1.0
552,chd2,nr2c2,1.0,1.0
553,chd2,patz1,1.0,1.0
554,setdb1,smc3,1.0,1.0
555,chd2,pou2f1,1.0,1.0
556,setdb1,sp1,1.0,1.0
557,setdb1,sp2,1.0,1.0
558,chd2,pura,1.0,1.0
559,chd2,rreb1,1.0,1.0
560,chd2,smc3,1.0,1.0
561,chd2,sp2,1.0,1.0
562,setdb1,tfdp1,1.0,1.0
563,chd2,stat3,1.0,1.0
564,chd2,taf1,1.0,1.0
565,setdb1,yy1,1.0,1.0
566,setdb1,zbtb7a,1.0,1.0
567,chd2,yy1,1.0,1.0
568,chd2,zbtb7a,1.0,1.0
569,setdb1,zfp281,1.0,1.0
570,chd2,zfp281,1.0,1.0
571,sin3a,smc3,1.0,1.0
572,sin3a,sp1,1.0,1.0
573,sin3a,tfdp1,1.0,1.0
574,sin3a,yy1,1.0,1.0
575,sin3a,zbtb7a,1.0,1.0
576,mybl2,tfdp2,1.0,1.0
577,sirt6,smad2,1.0,1.0
578,sirt6,tfdp1,1.0,1.0
579,max,rbpj,1.0,0.0
580,chd2,sox2,1.0,0.0
581,max,rest,0.0,1.0
582,chd2,sp1,1.0,0.0
583,max,rreb1,1.0,0.0
584,e2f4,mga,1.0,0.0
585,e2f4,mitf,1.0,0.0
586,e2f4,mlx,1.0,0.0
587,max,sirt6,0.0,1.0
588,chd2,tbx3,1.0,0.0
589,chd2,tcf3,1.0,0.0
590,max,smarcc1,0.0,1.0
591,chd2,tcf4,1.0,0.0
592,e2f4,mycn,1.0,0.0
593,e2f4,myef2,1.0,0.0
594,max,sox2,1.0,0.0
595,chd2,tead1,1.0,0.0
596,max,sp2,0.0,1.0
597,chd2,tfdp1,1.0,0.0
598,e2f4,nfe2l1,1.0,0.0
599,chd2,tgif1,1.0,0.0
600,e2f4,nfib,1.0,0.0
601,chd2,thap11,1.0,0.0
602,sp2,srebf2,1.0,0.0
603,chd2,topors,1.0,0.0
604,max,stat3,1.0,0.0
605,chd2,trp53,1.0,0.0
606,sp2,stat6,1.0,0.0
607,e2f4,nfya,1.0,0.0
608,max,stat6,1.0,0.0
609,e2f4,nfyb,1.0,0.0
610,max,tbp,0.0,1.0
611,chd2,wrnip1,1.0,0.0
612,chd2,xbp1,1.0,0.0
613,chd2,ybx1,1.0,0.0
614,max,tbx3,1.0,0.0
615,sp2,tbx3,1.0,0.0
616,max,tcf3,1.0,0.0
617,max,tcf4,1.0,0.0
618,sp2,tcf3,1.0,0.0
619,sp2,tcf4,1.0,0.0
620,max,tcf7l1,1.0,0.0
621,sp2,tcf7l1,1.0,0.0
622,e2f4,nr1h2,1.0,0.0
623,e2f4,nr2c2,1.0,0.0
624,max,tead1,1.0,0.0
625,chd2,zfp740,1.0,0.0
626,e2f4,nr3c1,0.0,1.0
627,sp2,tead1,1.0,0.0
628,max,tfdp2,1.0,0.0
629,max,tgif1,1.0,0.0
630,max,topors,1.0,0.0
631,max,trp53,1.0,0.0
632,sp2,tfdp2,1.0,0.0
633,max,xbp1,1.0,0.0
634,sp2,tgif1,1.0,0.0
635,max,ybx1,1.0,0.0
636,sp2,thap11,1.0,0.0
637,e2f4,patz1,1.0,0.0
638,sp2,topors,1.0,0.0
639,sp2,ubp1,1.0,0.0
640,max,zfp57,1.0,0.0
641,sp2,wrnip1,1.0,0.0
642,sp2,ybx1,1.0,0.0
643,max,zfp740,1.0,0.0
644,e2f4,polr2a,1.0,0.0
645,e2f4,polr3a,1.0,0.0
646,e2f4,polr3g,1.0,0.0
647,e2f4,pou2f1,1.0,0.0
648,sp2,zfp263,1.0,0.0
649,sp2,zfp281,1.0,0.0
650,sp2,zfp57,1.0,0.0
651,sp2,zfp740,1.0,0.0
652,e2f4,pura,1.0,0.0
653,e2f4,rad21,1.0,0.0
654,e2f4,rbpj,1.0,0.0
655,e2f4,rest,1.0,0.0
656,e2f4,rreb1,1.0,0.0
657,e2f4,sall4,1.0,0.0
658,e2f4,sirt6,1.0,0.0
659,e2f4,smad2,1.0,0.0
660,e2f4,smarcb1,1.0,0.0
661,e2f4,smarcc1,1.0,0.0
662,e2f4,smc3,1.0,0.0
663,e2f4,sox2,1.0,0.0
664,e2f4,srebf2,1.0,0.0
665,e2f4,stat3,1.0,0.0
666,e2f4,stat6,1.0,0.0
667,e2f4,tbp,1.0,0.0
668,e2f4,tbx3,1.0,0.0
669,e2f4,tcf3,1.0,0.0
670,e2f4,tcf4,1.0,0.0
671,e2f4,tcf7l1,1.0,0.0
672,e2f4,tead1,1.0,0.0
673,e2f4,tfdp2,1.0,0.0
674,e2f4,tgif1,1.0,0.0
675,e2f4,thap11,1.0,0.0
676,e2f4,ubp1,1.0,0.0
677,e2f4,wrnip1,1.0,0.0
678,e2f4,ybx1,1.0,0.0
679,polr2a,polr3a,1.0,0.0
680,e2f4,zfp263,1.0,0.0
681,e2f4,zfp281,1.0,0.0
682,polr2a,rest,0.0,1.0
683,e2f4,zfp57,1.0,0.0
684,polr2a,rreb1,1.0,0.0
685,e2f4,zfp740,1.0,0.0
686,polr2a,sall4,1.0,0.0
687,polr2a,setdb1,0.0,1.0
688,polr2a,smc3,1.0,0.0
689,polr2a,sp1,0.0,1.0
690,polr2a,sp2,0.0,1.0
691,polr2a,stat3,0.0,1.0
692,polr2a,stat6,1.0,0.0
693,polr2a,taf1,0.0,1.0
694,polr2a,tbp,0.0,1.0
695,polr2a,tfdp1,0.0,1.0
696,polr2a,tfdp2,0.0,1.0
697,polr2a,tgif1,1.0,0.0
698,polr2a,thap11,1.0,0.0
699,polr2a,yy1,0.0,1.0
700,polr2a,zbtb7a,0.0,1.0
701,ahctf1,chd2,0.0,1.0
702,ahctf1,ctcf,0.0,1.0
703,ahctf1,e2f1,0.0,1.0
704,polr2a,zfp281,0.0,1.0
705,polr2a,zfp740,1.0,0.0
706,ahctf1,ep300,0.0,1.0
707,polr3a,polr3g,0.0,1.0
708,polr3a,pou2f1,0.0,1.0
709,polr3a,rbpj,1.0,0.0
710,ahctf1,foxp4,0.0,1.0
711,nfya,rbpj,1.0,0.0
712,polr3a,rreb1,0.0,1.0
713,ahctf1,gtf2i,1.0,0.0
714,ahctf1,hdac2,0.0,1.0
715,nfya,rreb1,0.0,1.0
716,nfya,sall4,1.0,0.0
717,polr3a,sirt6,0.0,1.0
718,nfya,smad2,1.0,0.0
719,nfya,sox2,1.0,0.0
720,polr3a,sp1,0.0,1.0
721,polr3a,sp2,0.0,1.0
722,ahctf1,max,0.0,1.0
723,nfya,srebf2,1.0,0.0
724,ahctf1,mybl2,0.0,1.0
725,ahctf1,mycn,1.0,0.0
