0,gene1,gene2,feedback1,feedback2,kon1,kon2,koff1,koff2,ksyn1,ksyn2,w,bs1,bs2,bf1,bf2,cv1,cv2,convergence,corr,NMI,cmi_given_x1,cmi_given_x2,sign_givenx1,sign_givenx2
72,arnt,sp3,1,1,3.121434819,5.225493459,0.894840346,2.189449564,2.156892994,2.25897057,4.357546489,0.695466744,1.542959176,2.410366278,1.031752732,1.109280741,0.609802093,1,0.112092475,0.018235052,0.44660296,0.449447414,1,1
73,klf13,srebf1,1,1,6.468618697,1.257088554,37.19743597,40.48250333,56.19072801,5.273260987,6.911388629,5.510367988,1.219228298,1.51060756,0.13026025,0.769709298,0.772098753,1,0.231879991,0.056067477,3.343573431,1.684294778,1,1
74,arnt,stat3,1,1,0.176084626,4.602688818,10.28152714,23.52581257,2.119703032,11.02824759,6.195779947,0.173119723,3.849547224,0.206166166,0.468772229,1.11335414,0.822593037,1,0.067317026,0.019137052,0.337465788,0.147846218,1,-1
75,klf13,stat3,1,1,2.705680457,13.17838124,33.57573232,19.62053104,15.12879952,10.31174984,2.639817557,2.503904777,7.883396742,0.450587328,0.525559162,0.726171198,0.827185631,1,0.146594828,0.037883281,4.299164317,1.59715148,1,1
76,klf13,taf1,1,1,2.778550488,0.338197896,6.804768251,7.258739406,14.37976377,6.044931803,3.596341746,1.972948272,0.323142116,2.113189346,0.832779835,0.73335152,0.533372403,1,0.194091616,0.056392331,3.995121536,3.327188539,1,1
77,klf13,tcf12,1,1,2.828482549,0.138313147,28.89084217,16.32215339,43.75137951,2.606043949,10.99495083,2.576260485,0.137150936,1.514368437,0.159662998,0.751811594,1.347078118,1,0.115773564,0.028765965,3.196594174,0.709448163,1,1
78,klf13,tead2,1,1,5.349325315,1.535963858,24.67670046,27.12151978,38.58501736,9.440183835,5.930930868,4.39630937,1.453640336,1.563621418,0.348069869,0.753694965,0.667639555,1,0.222953282,0.061493504,5.698852109,3.699182008,1,1
79,arnt,tcf12,1,1,0.218616977,4.806087847,6.336437905,2.045991949,2.253829516,3.067955551,1.47489749,0.211325905,1.435070422,0.355693459,1.499495417,1.117803307,1.354640828,1,0.128484147,0.020071117,0.100211354,0.278436914,1,1
80,klf13,srebf2,1,1,4.189289349,0.721181851,70.91127779,1.106987222,99.55255874,2.491589585,2.322034016,3.955600764,0.43668778,1.403903044,2.250784414,0.763990748,0.716370669,1,0.134816422,0.041312393,3.709881469,2.112117192,1,1
81,klf13,tfap2c,1,1,37.02954555,4.958717562,34.06829768,100.0726266,54.07821409,27.68517412,1.596250114,17.74362658,4.724607639,1.587347116,0.276650819,0.757117117,0.932666235,1,0.196906801,0.059370325,8.883922304,4.39612038,1,1
82,arnt,trim28,1,1,1.140940158,5.899201886,17.15445676,12.54797411,2.329752105,114.0432112,3.335044028,1.069788684,4.012702678,0.135810311,9.088575592,1.111038073,0.292262909,1,0.254912181,0.091916838,2.754730351,8.687098067,1,1
83,arnt,yy1,1,1,0.0001,5.011416978,56.53428749,124.0972604,2.203072358,141.8357877,25.6212376,1.00E-04,4.816896357,0.038968783,1.142940523,1.114835352,0.486811133,1,0.134121539,0.042920238,1.053776844,2.477513277,1,1
84,klf13,yy1,1,1,3.01336387,2.983796587,124.5362275,124.4537031,9.674862739,138.5798467,26.95619055,2.942173036,2.91393456,0.077687135,1.11350521,0.7049989,0.483671392,1,0.309865538,0.071248829,4.005091175,6.311897501,1,1
85,arnt,zfp148,1,1,1.035918819,7.924814826,28.06461034,32.072928,3.207664979,12.38264961,5.233451868,0.999042246,6.354658972,0.114295725,0.386077929,1.127230637,0.882960089,1,0.109651282,0.027756824,0.10771934,0.580563731,1,1
86,arnt,zfp281,1,1,0.596860891,4.811149627,21.26859593,27.44156687,2.391520576,18.42206515,6.783571304,0.580568392,4.093468661,0.112443745,0.671319726,1.120695118,0.732715874,1,0.129884125,0.023822987,0.567119282,1.078831881,1,1
87,klf13,zbtb7a,1,1,6.390182113,0.0001,4.300416575,9.257009575,12.2432303,4.453236512,1.651698935,2.570524428,1.00E-04,2.846987051,0.481066426,0.723705629,0.680567978,1,0.126236696,0.044829871,1.612380205,1.492995793,1,1
88,klf13,zfp148,1,1,2.358002101,10.51979118,39.90815919,39.43508462,15.1464117,14.2181118,5.02923449,2.226450672,8.304471757,0.379531705,0.360544726,0.726533482,0.885387812,1,0.114587248,0.037876367,1.987501175,1.716661622,1,1
89,klf13,zfp281,1,1,2.272076045,5.629484206,132.0511753,172.2232861,13.51069369,96.82160876,28.47939776,2.233643908,5.451296976,0.102314074,0.562186513,0.727453363,0.744560227,1,0.160116601,0.049075506,3.180918945,2.493460162,1,1
90,klf13,zfp57,1,1,2.278432956,5.768281014,107.0653941,129.1232936,14.36176023,230.9852285,22.19487101,2.230956506,5.52161575,0.134140077,1.788873425,0.731544228,0.611479401,1,0.182203894,0.070953283,3.835627637,4.590027321,1,1
91,klf13,zfx,1,1,5.421211615,0.741477559,4.883403968,7.935342059,12.49373453,2.409671598,2.078405829,2.569136723,0.6781146,2.558406926,0.30366323,0.721239442,0.850278439,1,0.202743217,0.040345776,3.958644136,0.657769494,1,1
92,klf15,klf2,1,1,0.331277013,2.384324747,8.884889093,10.22214372,7.023200612,219.2347176,5.328774961,0.319369192,1.933365423,0.79046576,21.44703926,0.725535396,0.48789261,1,0.219269275,0.168528263,13.0892885,31.54712389,1,1
93,klf15,klf3,1,1,0.428440386,0.686951517,4.181882732,4.189222304,9.142612383,9.539702136,5.618503658,0.388625137,0.59017433,2.186243127,2.277201218,0.750974655,0.602305166,1,0.231270005,0.067762746,4.137030199,3.506207516,1,1
